eventID,eventDate,station,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,countryCode,maximumDepthInMeters
BS1-9-6-2018-0,2018-09-06,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-9-8-2016-0,2016-09-08,BS1,49.6082,-124.8669,WSGS84,300,CA,0
BS10-2-18-2015-0,2015-02-18,BS10,49.3985,-124.559,WSGS84,300,CA,0
BS11-2-18-2015-0,2015-02-18,BS11,49.4833,-124.7667,WSGS84,300,CA,0
BS2-1-27-2019-0,2019-01-27,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-10-10-2015-0,2015-10-10,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-10-10-2018-0,2018-10-10,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-10-19-2017-0,2017-10-19,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-12-2-2018-0,2018-12-02,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-3-1-2016-0,2016-03-01,BS2,49.6828,-124.7999,WSGS84,300,CA,0
BS2-3-16-2023-0,2023-03-16,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-3-18-2016-0,2016-03-18,BS2,49.6832,-124.8,WSGS84,300,CA,0
BS2-3-19-2023-0,2023-03-19,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-3-20-2017-0,2017-03-20,BS2,49.6824,-124.803,WSGS84,300,CA,0
BS2-3-21-2015-0,2015-03-21,BS2,49.6805,-124.7953,WSGS84,300,CA,0
BS2-3-27-2018-0,2018-03-27,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-3-29-2016-0,2016-03-29,BS2,49.6828,-124.7987,WSGS84,300,CA,0
BS2-3-8-2018-0,2018-03-08,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-3-9-2017-0,2017-03-09,BS2,49.683,-124.8028,WSGS84,300,CA,0
BS2-4-11-2016-0,2016-04-11,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-4-15-2017-0,2017-04-15,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-4-19-2018-0,2018-04-19,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-4-20-2015-0,2015-04-20,BS2,49.6836,-124.8002,WSGS84,300,CA,0
BS2-4-26-2016-0,2016-04-26,BS2,49.6838,-124.8013,WSGS84,300,CA,0
BS2-4-26-2018-0,2018-04-26,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-4-27-2023-0,2023-04-27,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-4-9-2015-0,2015-04-09,BS2,49.6836,-124.7984,WSGS84,300,CA,0
BS2-5-10-2018-0,2018-05-10,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-5-12-2017-0,2017-05-12,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-5-16-2016-0,2016-05-16,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-5-17-2015-0,2015-05-17,BS2,49.683,-124.8009,WSGS84,300,CA,0
BS2-5-18-2018-0,2018-05-18,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-5-23-2016-0,2016-05-23,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-5-25-2015-0,2015-05-25,BS2,49.6835,-124.8007,WSGS84,300,CA,0
BS2-5-28-2023-0,2023-05-28,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-5-31-2018-0,2018-05-31,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-5-6-2017-0,2017-05-06,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-5-6-2023-0,2023-05-06,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-5-9-2016-0,2016-05-09,BS2,49.6833,-124.7999,WSGS84,300,CA,0
BS2-6-13-2017-0,2017-06-13,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-6-14-2018-0,2018-06-14,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-6-15-2016-0,2016-06-15,BS2,49.6832,-124.8004,WSGS84,300,CA,0
BS2-6-15-2023-0,2023-06-15,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-6-18-2015-0,2015-06-18,BS2,49.6833,-124.7989,WSGS84,300,CA,0
BS2-6-20-2018-0,2018-06-20,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-6-22-2017-0,2017-06-22,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-6-25-2023-0,2023-06-25,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-6-28-2016-0,2016-06-28,BS2,49.6812,-124.8049,WSGS84,300,CA,0
BS2-6-6-2017-0,2017-06-06,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-6-8-2016-0,2016-06-08,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-7-15-2015-0,2015-07-15,BS2,49.6833,-124.8011,WSGS84,300,CA,0
BS2-7-16-2023-0,2023-07-16,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-7-17-2017-0,2017-07-17,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-7-20-2016-0,2016-07-20,BS2,49.6827,-124.8028,WSGS84,300,CA,0
BS2-7-25-2018-0,2018-07-25,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-7-26-2016-0,2016-07-26,BS2,49.683,-124.802,WSGS84,300,CA,0
BS2-7-5-2018-0,2018-07-05,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-7-7-2017-0,2017-07-07,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-1-2017-0,2017-08-01,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-14-2017-0,2017-08-14,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-15-2015-0,2015-08-15,BS2,49.6824,-124.7989,WSGS84,300,CA,0
BS2-8-16-2018-0,2018-08-16,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-19-2023-0,2023-08-19,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-2-2016-0,2016-08-02,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-21-2017-0,2017-08-21,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-22-2016-0,2016-08-22,BS2,49.6828,-124.802,WSGS84,300,CA,0
BS2-8-23-2018-0,2018-08-23,BS2,49.6833,-124.8017,WSGS84,300,CA,0
BS2-8-27-2023-0,2023-08-27,BS2,49.6833,-124.8017,WSGS84,300,CA,0
